"date","season","matchday","goalkeeper","penaltytaker","homegame","result","minute","goaldiff","gkclub","ptclub","gkage","ptage","gkexp","ptexp"
1963-08-24,"63/64",1,"Loy, Egon","Neumann, Jürgen",2,"Tor",38,0,"Eintracht Frankfurt","1.FC Kaiserslautern",32,21,1,0
1963-08-24,"63/64",1,"Schnarr, Wolfgang","Schämer, Lothar",1,"Tor",40,1,"1.FC Kaiserslautern","Eintracht Frankfurt",22,23,0,1
1963-08-24,"63/64",1,"Wabra, Roland","Schimmöller, Hans-Günther",1,"Tor",62,1,"1.FC Nürnberg","Hertha BSC",27,28,1,0
1963-08-31,"63/64",2,"Tilkowski, Hans","Stemmer, Alfons",2,"gehalten",65,0,"Borussia Dortmund","TSV 1860 München",28,29,2,1
1963-09-07,"63/64",3,"Radenkovic, Petar","Sturm, Hans",2,"Tor",67,0,"TSV 1860 München","1.FC Köln",29,28,1,2
1963-09-07,"63/64",3,"Ewert, Fritz","Auernhammer, Hans",1,"Tor",55,1,"1.FC Köln","TSV 1860 München",26,30,2,1
1963-09-07,"63/64",3,"Manglitz, Manfred","Tybussek, Helmut",1,"Tor",72,-3,"Meidericher SV","Preußen Münster",23,27,1,2
1963-09-07,"63/64",3,"Wabra, Roland","Huberts, Wilhelm",1,"Tor",82,2,"1.FC Nürnberg","Eintracht Frankfurt",27,25,1,0
1963-09-07,"63/64",3,"Danner1, Volker","Moll, Jürgen",2,"Tor",72,1,"1.FC Saarbrücken","Eintracht Braunschweig",21,23,0,2
1963-09-14,"63/64",4,"Eiteljoerge, Herbert","Reisch, Stefan",1,"Tor",2,0,"Preußen Münster","1.FC Nürnberg",28,21,2,1
1963-09-21,"63/64",5,"Strich, Horst-Dieter","Stemmer, Alfons",1,"Tor",57,0,"1.FC Kaiserslautern","TSV 1860 München",22,30,0,1
1963-09-21,"63/64",5,"Strich, Horst-Dieter","Küppers, Hans",1,"vorbei",43,0,"1.FC Kaiserslautern","TSV 1860 München",22,24,0,1
1963-10-19,"63/64",8,"Krumnow, Hans-Jürgen","Rylewicz, Burghart",1,"Tor",16,0,"Hertha BSC","Borussia Dortmund",20,27,0,2
1963-10-19,"63/64",8,"Radenkovic, Petar","Seeler, Uwe",1,"Tor",19,0,"TSV 1860 München","Hamburger SV",29,27,1,2
1963-10-26,"63/64",9,"Paul1, Manfred","Krafczyk, Dieter",1,"gehalten",16,0,"Karlsruher SC","1.FC Saarbrücken",25,22,1,0
1963-10-26,"63/64",9,"Eisenhofer, Karl","Schimmöller, Hans-Günther",1,"gehalten",88,2,"Eintracht Frankfurt","Hertha BSC",29,28,0,0
1963-10-26,"63/64",9,"Strich, Horst-Dieter","Reisch, Stefan",1,"gehalten",75,5,"1.FC Kaiserslautern","1.FC Nürnberg",22,21,0,1
1963-11-09,"63/64",10,"Mühlmann, Horst","Huberts, Wilhelm",1,"Tor",72,-2,"FC Schalke 04","Eintracht Frankfurt",23,25,1,0
1963-11-09,"63/64",10,"Eiteljoerge, Herbert","Witlatschil, Gustav",1,"Tor",44,-2,"Preußen Münster","Karlsruher SC",29,28,2,1
1963-11-09,"63/64",10,"Tillich, Wolfgang","Schütz1, Arnold",1,"vorbei",40,-1,"Hertha BSC","SV Werder Bremen",24,28,0,2
1963-11-16,"63/64",11,"Loy, Egon","Schütz1, Arnold",1,"Tor",48,-1,"Eintracht Frankfurt","SV Werder Bremen",32,28,1,2
1963-11-23,"63/64",12,"Tilkowski, Hans","Nolden, Ludwig",1,"Tor",23,2,"Borussia Dortmund","Meidericher SV",28,28,2,2
1963-11-23,"63/64",12,"Loy, Egon","Stemmer, Alfons",2,"Tor",69,3,"Eintracht Frankfurt","TSV 1860 München",32,30,1,1
