Mark,Competitor,DOB,Nationality,Venue,Date
6.3,Armand DUPLANTIS,10/11/1999,SWE,"National Stadium, Tokyo (JPN)",15/09/2025
6.29,Armand DUPLANTIS,10/11/1999,SWE,"Nemzeti Atlétikai Központ, Budapest (HUN)",12/08/2025
6.28,Armand DUPLANTIS,10/11/1999,SWE,"Olympiastadion, Stockholm (SWE)",15/06/2025
6.27,Armand DUPLANTIS,10/11/1999,SWE,"Maison des Sports, Clermont-Ferrand (FRA)",28/02/2025
6.26,Armand DUPLANTIS,10/11/1999,SWE,"Stadion Śląski, Chorzów (POL)",25/08/2024
6.25,Armand DUPLANTIS,10/11/1999,SWE,"Stade de France, Paris (FRA)",05/08/2024
6.24,Armand DUPLANTIS,10/11/1999,SWE,"Egret Stadium, Xiamen (CHN)",20/04/2024
6.23,Armand DUPLANTIS,10/11/1999,SWE,"Hayward Field, Eugene, OR (USA)",17/09/2023
6.22,Armand DUPLANTIS,10/11/1999,SWE,"Maison des Sports, Clermont-Ferrand (FRA)",25/02/2023
6.21,Armand DUPLANTIS,10/11/1999,SWE,"Hayward Field, Eugene, OR (USA)",24/07/2022
6.2,Armand DUPLANTIS,10/11/1999,SWE,"Štark Arena, Beograd (SRB)",20/03/2022
6.19,Armand DUPLANTIS,10/11/1999,SWE,"Štark Arena, Beograd (SRB)",07/03/2022
6.18,Armand DUPLANTIS,10/11/1999,SWE,"Emirates Arena, Glasgow (GBR)",15/02/2020
6.17,Armand DUPLANTIS,10/11/1999,SWE,"Kujawsko-Pomorska Arena, Toruń (POL)",08/02/2020
6.16,Renaud LAVILLENIE,18/09/1986,FRA,Donetsk (UKR),15/02/2014
6.14,Sergey BUBKA,04/12/1963,UKR,Sestriere (ITA),31/07/1994
6.13,Sergey BUBKA,04/12/1963,UKR,Tokyo (JPN),19/09/1992
6.12,Sergey BUBKA,04/12/1963,UKR,Padova (ITA),30/08/1992
6.11,Sergey BUBKA,04/12/1963,UKR,Dijon (FRA),13/06/1992
6.1,Sergey BUBKA,04/12/1963,URS,Malmö (SWE),05/08/1991
6.09,Sergey BUBKA,04/12/1963,URS,Formia (ITA),08/07/1991
6.08,Sergey BUBKA,04/12/1963,URS,Moskva (URS),09/06/1991
6.07,Sergey BUBKA,04/12/1963,URS,Shizuoka (JPN),06/05/1991
6.06,Sergey BUBKA,04/12/1963,URS,Nice (FRA),10/07/1988
6.05,Sergey BUBKA,04/12/1963,URS,Bratislava (TCH),09/06/1988
6.03,Sergey BUBKA,04/12/1963,URS,Praha (TCH),23/06/1987
6.01,Sergey BUBKA,04/12/1963,URS,Moskva (URS),08/07/1986
6,Sergey BUBKA,04/12/1963,URS,Paris (FRA),13/07/1985
5.94,Sergey BUBKA,04/12/1963,URS,Roma (ITA),31/08/1984
5.91,Thierry VIGNERON,09/03/1960,FRA,Roma (ITA),31/08/1984
5.9,Sergey BUBKA,04/12/1963,URS,London (GBR),13/07/1984
5.88,Sergey BUBKA,04/12/1963,URS,Paris-St-Denis (FRA),02/06/1984
5.85,Sergey BUBKA,04/12/1963,URS,Bratislava (TCH),26/05/1984
5.83,Thierry VIGNERON,09/03/1960,FRA,Roma (ITA),01/09/1983
5.82,Pierre QUINON,20/02/1962,FRA,Köln (GER),28/08/1983
5.81,Vladimir POLYAKOV,17/04/1960,URS,Tbilisi (GEO),26/06/1981
5.8,Thierry VIGNERON,09/03/1960,FRA,Mâcon (FRA),20/06/1981
5.78,Władysław KOZAKIEWICZ,08/12/1953,POL,"Lenin Stadium, Moskva (URS)",30/07/1980
5.77,Philippe HOUVION,05/10/1957,FRA,Paris (FRA),17/07/1980
5.75,Thierry VIGNERON,09/03/1960,FRA,Villeneuve d'Ascq (FRA),29/06/1980
5.75,Thierry VIGNERON,09/03/1960,FRA,Colombes (FRA),01/06/1980
5.72,Władysław KOZAKIEWICZ,08/12/1953,POL,Milano (ITA),11/05/1980
5.7,David ROBERTS,23/07/1951,USA,"Eugene, OR (USA)",22/06/1976
5.67,Earl BELL,25/08/1955,USA,"Wichita, KS (USA)",29/05/1976
5.65,David ROBERTS,23/07/1951,USA,"Gainesville, FL (USA)",28/03/1975
5.63,Bob SEAGREN,17/10/1946,USA,"Eugene, OR (USA)",02/07/1972
5.55,Kjell ISAKSSON,28/02/1948,SWE,Helsingborg (SWE),12/06/1972
5.54,Kjell ISAKSSON,28/02/1948,SWE,"Los Angeles, CA (USA)",15/04/1972
