Club,Abbreviation,Gross_PW_GBP,Gross_PY_GBP,Adj_Gross_GBP,Keeper_GBP,Defense_GBP,Midfield_GBP,Forward_GBP,Season,League
QPR,QPR,785981.0,40871000.0,52771625.0,312000.0,11528000.0,10792000.0,18239000.0,2013-2014,Championship
Nottingham Forest,NTG,385654.0,20054000.0,25893228.0,811000.0,6681000.0,6755000.0,5807000.0,2013-2014,Championship
Reading,RDG,353077.0,18360000.0,23705974.0,1079000.0,6783400.0,4171800.0,6325800.0,2013-2014,Championship
Wigan,WIG,338404.0,17597000.0,22720810.0,2387000.0,6219000.0,5039000.0,3952000.0,2013-2014,Championship
Blackburn,BBR,335146.0,17427600.0,22502084.0,806000.0,3296800.0,6128000.0,7196800.0,2013-2014,Championship
Leicester,LEI,330900.0,17206800.0,22216993.0,1238000.0,5854800.0,4914000.0,5200000.0,2013-2014,Championship
Bolton,BOL,313342.0,16293800.0,21038152.0,910000.0,4970800.0,7345000.0,3068000.0,2013-2014,Championship
Leeds,LEE,220842.0,11483800.0,14827599.0,1076000.0,4004000.0,2408000.0,3995800.0,2013-2014,Championship
Middlesbrough,MID,219096.0,11393000.0,14710360.0,292000.0,4009400.0,3773600.0,3318000.0,2013-2014,Championship
Watford,WAT,217985.0,11335200.0,14635729.0,884000.0,3486400.0,5368000.0,1596800.0,2013-2014,Championship
Millwall,MLW,188800.0,9817600.0,12676244.0,390000.0,2444000.0,3062800.0,3920800.0,2013-2014,Championship
Derby County,DRB,175427.0,9122200.0,11778356.0,685000.0,4032800.0,1788800.0,2615600.0,2013-2014,Championship
Sheffield Wednesday,SHW,162108.0,8429600.0,10884093.0,676000.0,2470000.0,1755000.0,3528600.0,2013-2014,Championship
Birmingham,BIR,161981.0,8423000.0,10875568.0,540800.0,1669800.0,2291600.0,3920800.0,2013-2014,Championship
Brighton,BHA,159515.0,8294800.0,10710041.0,644800.0,2382000.0,2974000.0,2294000.0,2013-2014,Championship
Barnsley,BRS,146435.0,7614600.0,9831784.0,733000.0,2194800.0,2210000.0,2476800.0,2013-2014,Championship
Charlton,CHA,142500.0,7410000.0,9567611.0,333000.0,2278000.0,1986000.0,2813000.0,2013-2014,Championship
Ipswich Town,IPS,138654.0,7210000.0,9309374.0,540800.0,2308800.0,2311400.0,2049000.0,2013-2014,Championship
Huddersfield,HDD,135035.0,7021800.0,9066377.0,452000.0,2181000.0,1554800.0,2834000.0,2013-2014,Championship
