"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Mohamed Salah";"Liverpool";38;3392;29;18;27.71;15.86;0.74;0.42
2;"Alexander Isak";"Newcastle United";34;2822;23;6;22.36;5.45;0.71;0.17
3;"Erling Haaland";"Manchester City";31;2749;22;3;23.95;3.58;0.78;0.12
4;"Chris Wood";"Nottingham Forest";36;3024;20;3;15.64;3.04;0.47;0.09
5;"Bryan Mbeumo";"Brentford";38;3419;20;7;13.63;10.38;0.36;0.27
6;"Yoane Wissa";"Brentford";35;2943;18;4;20.73;3.45;0.63;0.11
7;"Ollie Watkins";"Aston Villa";38;2666;16;8;18.63;3.88;0.63;0.13
8;"Matheus Cunha";"Wolverhampton Wanderers";33;2617;15;6;8.45;7.41;0.29;0.25
9;"Cole Palmer";"Chelsea";37;3228;15;8;15.77;12.95;0.44;0.36
10;"Jean-Philippe Mateta";"Crystal Palace";37;2690;14;2;15.83;3.85;0.53;0.13
11;"Jørgen Strand Larsen";"Wolverhampton Wanderers";35;2624;14;4;11.69;3.36;0.4;0.12
12;"Jarrod Bowen";"West Ham";34;2993;13;8;9.82;7.63;0.3;0.23
13;"Luis Díaz";"Liverpool";36;2433;13;5;12.36;6.25;0.46;0.23
14;"Raúl Jiménez";"Fulham";38;2531;12;3;14.41;4.08;0.51;0.15
15;"Justin Kluivert";"Bournemouth";34;2390;12;6;10.44;5.51;0.39;0.21
16;"Liam Delap";"Ipswich";37;2671;12;2;11.93;2.78;0.4;0.09
17;"Kevin Schade";"Brentford";38;2332;11;2;9.47;3.71;0.37;0.14
18;"Brennan Johnson";"Tottenham";33;2178;11;3;11.16;2.95;0.46;0.12
19;"Antoine Semenyo";"Bournemouth";37;3219;11;5;14.55;6.61;0.41;0.18
20;"Danny Welbeck";"Brighton";30;2152;10;4;10.46;2.08;0.44;0.09
21;"João Pedro";"Brighton";27;1975;10;6;8.86;5.62;0.4;0.26
22;"Nicolas Jackson";"Chelsea";30;2294;10;5;13.83;3.47;0.54;0.14
23;"Kaoru Mitoma";"Brighton";36;2608;10;4;10.22;4.95;0.35;0.17
24;"Cody Gakpo";"Liverpool";35;1970;10;4;8.6;6.26;0.39;0.29
25;"Evanilson";"Bournemouth";31;2376;10;1;13.71;1.92;0.52;0.07
26;"Alex Iwobi";"Fulham";38;3023;9;6;5.02;8.46;0.15;0.25
27;"Jamie Vardy";"Leicester";35;2890;9;4;12.22;3.74;0.38;0.12
28;"Dominic Solanke";"Tottenham";27;2220;9;3;12.42;2.46;0.5;0.1
29;"Kai Havertz";"Arsenal";23;1880;9;3;11.83;2.95;0.57;0.14
30;"Harvey Barnes";"Newcastle United";33;1740;9;4;7.7;4.35;0.4;0.23
31;"James Maddison";"Tottenham";31;1851;9;7;5.89;6.02;0.29;0.29
32;"Tomas Soucek";"West Ham";35;2586;9;1;8.07;0.95;0.28;0.03
33;"Iliman Ndiaye";"Everton";33;2478;9;0;7.09;1.91;0.26;0.07
34;"Bruno Fernandes";"Manchester United";36;3034;8;10;9.89;10.23;0.29;0.3
35;"Ismaila Sarr";"Crystal Palace";38;2738;8;6;12.31;10.06;0.4;0.33
36;"Jacob Murphy";"Newcastle United";35;2443;8;11;6.59;9.34;0.24;0.34
37;"Leandro Trossard";"Arsenal";38;2569;8;7;8.74;7.04;0.31;0.25
38;"Gabriel Martinelli";"Arsenal";33;2310;8;4;9.21;5.26;0.36;0.21
39;"Amad Diallo Traore";"Manchester United";26;1887;8;6;4.75;4.76;0.23;0.23
40;"Eberechi Eze";"Crystal Palace";34;2635;8;8;9.88;7.02;0.34;0.24
41;"Beto";"Everton";30;1520;8;0;9.27;1.39;0.55;0.08
42;"Rodrigo Muniz";"Fulham";31;922;8;1;6.84;0.78;0.67;0.08
43;"Morgan Rogers";"Aston Villa";37;3191;8;10;8.22;8.15;0.23;0.23
44;"Son Heung-Min";"Tottenham";30;2135;7;9;7.91;9.04;0.33;0.38
45;"Mikel Merino";"Arsenal";28;1578;7;2;6.87;2.17;0.39;0.12
46;"Phil Foden";"Manchester City";28;1770;7;2;6.18;5.38;0.31;0.27
47;"Dejan Kulusevski";"Tottenham";32;2391;7;4;5.52;6.5;0.21;0.24
48;"Morgan Gibbs-White";"Nottingham Forest";34;2868;7;8;6.14;6.11;0.19;0.19
49;"Omar Marmoush";"Manchester City";16;1195;7;0;5.65;2.68;0.43;0.2
50;"Dango Ouattara";"Bournemouth";32;2013;7;4;10.93;5.99;0.49;0.27
51;"Noni Madueke";"Chelsea";32;2113;7;3;11.86;3.12;0.51;0.13
52;"Jhon Durán";"Aston Villa";20;563;7;0;5.1;0.23;0.82;0.04
53;"Marcus Rashford";"Aston Villa,Manchester United";25;1435;6;3;4.99;4.73;0.31;0.3
54;"Mateo Kovacic";"Manchester City";31;2220;6;2;1.81;3.69;0.07;0.15
55;"Harry Wilson";"Fulham";25;1150;6;1;3.61;1.46;0.28;0.11
56;"Diogo Jota";"Liverpool";26;1188;6;3;10.21;1.85;0.77;0.14
57;"Emile Smith-Rowe";"Fulham";34;2101;6;3;5.26;2.43;0.23;0.1
58;"Bukayo Saka";"Arsenal";25;1763;6;10;8.94;11.58;0.46;0.59
59;"Anthony Gordon";"Newcastle United";34;2474;6;5;9.2;4.82;0.33;0.18
